- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 128827.0,  렌더링 객체: 565,  렌더링 fake 객체: 1561
        시간 간격: 124159.4,  렌더링 객체: 586,  렌더링 fake 객체: 1596
        시간 간격: 512801.7,  렌더링 객체: 594,  렌더링 fake 객체: 1602
        시간 간격: 2029.5,  렌더링 객체: 653,  렌더링 fake 객체: 1579
        시간 간격: 1113.3,  렌더링 객체: 652,  렌더링 fake 객체: 1555
        시간 간격: 1021.9,  렌더링 객체: 653,  렌더링 fake 객체: 1553
        시간 간격: 1126.4,  렌더링 객체: 652,  렌더링 fake 객체: 1558
        시간 간격: 2032.4,  렌더링 객체: 654,  렌더링 fake 객체: 1557
        시간 간격: 1033.7,  렌더링 객체: 654,  렌더링 fake 객체: 1566
        시간 간격: 911.1,  렌더링 객체: 649,  렌더링 fake 객체: 1562
        시간 간격: 1208.4,  렌더링 객체: 649,  렌더링 fake 객체: 1555
        시간 간격: 1265.9,  렌더링 객체: 648,  렌더링 fake 객체: 1554
        시간 간격: 1915.4,  렌더링 객체: 651,  렌더링 fake 객체: 1557
        시간 간격: 920.1,  렌더링 객체: 642,  렌더링 fake 객체: 1555
        시간 간격: 915.2,  렌더링 객체: 635,  렌더링 fake 객체: 1554
        시간 간격: 1107.4,  렌더링 객체: 628,  렌더링 fake 객체: 1531
        시간 간격: 955.0,  렌더링 객체: 627,  렌더링 fake 객체: 1529
        시간 간격: 903.0,  렌더링 객체: 622,  렌더링 fake 객체: 1525
        시간 간격: 901.7,  렌더링 객체: 623,  렌더링 fake 객체: 1528
        시간 간격: 1200.5,  렌더링 객체: 621,  렌더링 fake 객체: 1526
        시간 간격: 975.1,  렌더링 객체: 623,  렌더링 fake 객체: 1531
        시간 간격: 893.1,  렌더링 객체: 622,  렌더링 fake 객체: 1530
        시간 간격: 892.3,  렌더링 객체: 622,  렌더링 fake 객체: 1530
        시간 간격: 889.9,  렌더링 객체: 617,  렌더링 fake 객체: 1523
        시간 간격: 980.9,  렌더링 객체: 617,  렌더링 fake 객체: 1522
        시간 간격: 901.3,  렌더링 객체: 617,  렌더링 fake 객체: 1522
        시간 간격: 894.9,  렌더링 객체: 613,  렌더링 fake 객체: 1524
        시간 간격: 931.2,  렌더링 객체: 612,  렌더링 fake 객체: 1522
        시간 간격: 1259.1,  렌더링 객체: 611,  렌더링 fake 객체: 1522
        시간 간격: 944.0,  렌더링 객체: 611,  렌더링 fake 객체: 1522
        시간 간격: 979.4,  렌더링 객체: 612,  렌더링 fake 객체: 1502
        시간 간격: 995.4,  렌더링 객체: 613,  렌더링 fake 객체: 1500
        시간 간격: 1012.2,  렌더링 객체: 613,  렌더링 fake 객체: 1500
        시간 간격: 909.1,  렌더링 객체: 616,  렌더링 fake 객체: 1499
        시간 간격: 1010.3,  렌더링 객체: 616,  렌더링 fake 객체: 1502
