전체 객체(폴리곤) 472691, 한 객체당 평균 31개 정점

fake 객체 개수: 16353, 한 객체 당 평균 9개 정점

폴리곤 정점 개수: 14842711,  fake 정점 개수: 143968

- 빌드 시간 차이
    
    평균 7만 마이크로 세컨드 → 0.07초 차이
    
    fake 있을 때: 250000마이크로 세크
    
    fale 없을 때: 180000마이크로 세크
    
- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 129176.9,  렌더링 객체: 568,  렌더링 fake 객체: 5014
        시간 간격: 157406.1,  렌더링 객체: 587,  렌더링 fake 객체: 5095
        시간 간격: 449806.0,  렌더링 객체: 608,  렌더링 fake 객체: 5114
        시간 간격: 6784.3,  렌더링 객체: 655,  렌더링 fake 객체: 5070
        시간 간격: 15944.0,  렌더링 객체: 655,  렌더링 fake 객체: 5070
        시간 간격: 2545.8,  렌더링 객체: 653,  렌더링 fake 객체: 5079
        시간 간격: 1332.1,  렌더링 객체: 655,  렌더링 fake 객체: 5035
        시간 간격: 17138.5,  렌더링 객체: 655,  렌더링 fake 객체: 5035
        시간 간격: 1044.0,  렌더링 객체: 655,  렌더링 fake 객체: 5039
        시간 간격: 1075.4,  렌더링 객체: 654,  렌더링 fake 객체: 5030
        시간 간격: 877.3,  렌더링 객체: 654,  렌더링 fake 객체: 5035
        시간 간격: 1163.7,  렌더링 객체: 649,  렌더링 fake 객체: 4983
        시간 간격: 2083.8,  렌더링 객체: 649,  렌더링 fake 객체: 4979
        시간 간격: 885.9,  렌더링 객체: 651,  렌더링 fake 객체: 4974
        시간 간격: 846.3,  렌더링 객체: 647,  렌더링 fake 객체: 4961
        시간 간격: 1101.9,  렌더링 객체: 642,  렌더링 fake 객체: 4966
        시간 간격: 881.7,  렌더링 객체: 628,  렌더링 fake 객체: 4909
        시간 간격: 773.2,  렌더링 객체: 628,  렌더링 fake 객체: 4912
        시간 간격: 943.4,  렌더링 객체: 627,  렌더링 fake 객체: 4896
        시간 간격: 994.9,  렌더링 객체: 623,  렌더링 fake 객체: 4902
        시간 간격: 943.2,  렌더링 객체: 623,  렌더링 fake 객체: 4900
        시간 간격: 1025.3,  렌더링 객체: 622,  렌더링 fake 객체: 4904
        시간 간격: 2602.7,  렌더링 객체: 623,  렌더링 fake 객체: 4905
        시간 간격: 1194.2,  렌더링 객체: 622,  렌더링 fake 객체: 4857
        시간 간격: 941.1,  렌더링 객체: 622,  렌더링 fake 객체: 4859
        시간 간격: 906.8,  렌더링 객체: 617,  렌더링 fake 객체: 4848
        시간 간격: 861.7,  렌더링 객체: 617,  렌더링 fake 객체: 4849
        시간 간격: 834.0,  렌더링 객체: 615,  렌더링 fake 객체: 4852
        시간 간격: 923.5,  렌더링 객체: 612,  렌더링 fake 객체: 4841
        시간 간격: 1053.3,  렌더링 객체: 612,  렌더링 fake 객체: 4859
        시간 간격: 826.1,  렌더링 객체: 611,  렌더링 fake 객체: 4856
        시간 간격: 905.1,  렌더링 객체: 610,  렌더링 fake 객체: 4817
        시간 간격: 1124.4,  렌더링 객체: 612,  렌더링 fake 객체: 4820
        시간 간격: 937.8,  렌더링 객체: 613,  렌더링 fake 객체: 4818
        시간 간격: 2426.8,  렌더링 객체: 613,  렌더링 fake 객체: 4818
        시간 간격: 765.9,  렌더링 객체: 614,  렌더링 fake 객체: 4817
        시간 간격: 840.1,  렌더링 객체: 616,  렌더링 fake 객체: 4824
        시간 간격: 914.7,  렌더링 객체: 616,  렌더링 fake 객체: 4824
        시간 간격: 892.3,  렌더링 객체: 618,  렌더링 fake 객체: 4821
        시간 간격: 798.3,  렌더링 객체: 617,  렌더링 fake 객체: 4816
        시간 간격: 902.7,  렌더링 객체: 617,  렌더링 fake 객체: 4827
        시간 간격: 1223.2,  렌더링 객체: 617,  렌더링 fake 객체: 4828
        시간 간격: 826.9,  렌더링 객체: 618,  렌더링 fake 객체: 4827
        시간 간격: 784.8,  렌더링 객체: 617,  렌더링 fake 객체: 4830
        시간 간격: 883.1,  렌더링 객체: 616,  렌더링 fake 객체: 4824
        시간 간격: 853.7,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 884.3,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 925.5,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 853.0,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 774.6,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 962.3,  렌더링 객체: 616,  렌더링 fake 객체: 4794
        시간 간격: 799.7,  렌더링 객체: 615,  렌더링 fake 객체: 4792
        시간 간격: 1129.0,  렌더링 객체: 615,  렌더링 fake 객체: 4792
        시간 간격: 810.3,  렌더링 객체: 615,  렌더링 fake 객체: 4792
        시간 간격: 917.1,  렌더링 객체: 615,  렌더링 fake 객체: 4792
        시간 간격: 868.2,  렌더링 객체: 616,  렌더링 fake 객체: 4797
        시간 간격: 779.9,  렌더링 객체: 616,  렌더링 fake 객체: 4794
        시간 간격: 737.0,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 944.3,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 918.2,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 780.0,  렌더링 객체: 616,  렌더링 fake 객체: 4792
        시간 간격: 801.8,  렌더링 객체: 616,  렌더링 fake 객체: 4789
        시간 간격: 891.3,  렌더링 객체: 616,  렌더링 fake 객체: 4824
        시간 간격: 1061.5,  렌더링 객체: 616,  렌더링 fake 객체: 4827
        시간 간격: 1058.4,  렌더링 객체: 618,  렌더링 fake 객체: 4830
        시간 간격: 735.9,  렌더링 객체: 617,  렌더링 fake 객체: 4830
        시간 간격: 794.0,  렌더링 객체: 618,  렌더링 fake 객체: 4817
        시간 간격: 885.8,  렌더링 객체: 618,  렌더링 fake 객체: 4821
        시간 간격: 740.0,  렌더링 객체: 618,  렌더링 fake 객체: 4827
        시간 간격: 799.6,  렌더링 객체: 616,  렌더링 fake 객체: 4823
        시간 간격: 761.5,  렌더링 객체: 614,  렌더링 fake 객체: 4817
        시간 간격: 973.1,  렌더링 객체: 613,  렌더링 fake 객체: 4818
        시간 간격: 775.9,  렌더링 객체: 613,  렌더링 fake 객체: 4819
        시간 간격: 1832.6,  렌더링 객체: 612,  렌더링 fake 객체: 4820
        시간 간격: 836.2,  렌더링 객체: 610,  렌더링 fake 객체: 4854
        시간 간격: 858.6,  렌더링 객체: 612,  렌더링 fake 객체: 4858
        시간 간격: 728.4,  렌더링 객체: 613,  렌더링 fake 객체: 4847
        시간 간격: 1118.3,  렌더링 객체: 614,  렌더링 fake 객체: 4850
        시간 간격: 754.1,  렌더링 객체: 617,  렌더링 fake 객체: 4849
        시간 간격: 748.0,  렌더링 객체: 615,  렌더링 fake 객체: 4844
        시간 간격: 872.0,  렌더링 객체: 617,  렌더링 fake 객체: 4848
