- 일반 쿼드트리
    - 좌우 이동 (10000m 상공)
        
        [click P] 높이= 10000.000000
        [CULL] maxLevel=8, 시간=1299.3us, m_minNodePixels=8.0, 방문노드=7352, 절두체판정=5435, 객체검사=4872, 렌더객체=37221, fake노드=4927
        [CULL] maxLevel=8, 시간=1168.1us, m_minNodePixels=8.0, 방문노드=7522, 절두체판정=5619, 객체검사=5049, 렌더객체=37838, fake노드=5031
        [CULL] maxLevel=8, 시간=1314.3us, m_minNodePixels=8.0, 방문노드=7552, 절두체판정=5619, 객체검사=5049, 렌더객체=38065, fake노드=5023
        [CULL] maxLevel=8, 시간=1268.2us, m_minNodePixels=8.0, 방문노드=7577, 절두체판정=5619, 객체검사=5049, 렌더객체=38238, fake노드=5069
        [CULL] maxLevel=8, 시간=1132.4us, m_minNodePixels=8.0, 방문노드=7478, 절두체판정=5589, 객체검사=5024, 렌더객체=37982, fake노드=5023
        [CULL] maxLevel=8, 시간=1121.5us, m_minNodePixels=8.0, 방문노드=7470, 절두체판정=5589, 객체검사=5024, 렌더객체=37907, fake노드=4982
        [CULL] maxLevel=8, 시간=1129.0us, m_minNodePixels=8.0, 방문노드=7474, 절두체판정=5589, 객체검사=5024, 렌더객체=37835, fake노드=4985
        [CULL] maxLevel=8, 시간=1240.2us, m_minNodePixels=8.0, 방문노드=7480, 절두체판정=5589, 객체검사=5024, 렌더객체=37824, fake노드=4991
        [CULL] maxLevel=8, 시간=1272.6us, m_minNodePixels=8.0, 방문노드=7460, 절두체판정=5589, 객체검사=5024, 렌더객체=37740, fake노드=5000
        [CULL] maxLevel=8, 시간=1142.8us, m_minNodePixels=8.0, 방문노드=7357, 절두체판정=5607, 객체검사=5041, 렌더객체=37575, fake노드=4956
        [CULL] maxLevel=8, 시간=1387.3us, m_minNodePixels=8.0, 방문노드=7354, 절두체판정=5607, 객체검사=5041, 렌더객체=37532, fake노드=4953
        [CULL] maxLevel=8, 시간=1362.2us, m_minNodePixels=8.0, 방문노드=7354, 절두체판정=5607, 객체검사=5041, 렌더객체=37529, fake노드=4952
        [CULL] maxLevel=8, 시간=1115.3us, m_minNodePixels=8.0, 방문노드=7346, 절두체판정=5607, 객체검사=5041, 렌더객체=37464, fake노드=4946
        [CULL] maxLevel=8, 시간=1114.8us, m_minNodePixels=8.0, 방문노드=7364, 절두체판정=5579, 객체검사=5027, 렌더객체=37386, fake노드=4942
        [CULL] maxLevel=8, 시간=1094.1us, m_minNodePixels=8.0, 방문노드=7356, 절두체판정=5579, 객체검사=5027, 렌더객체=37316, fake노드=4900
        [CULL] maxLevel=8, 시간=1104.9us, m_minNodePixels=8.0, 방문노드=7350, 절두체판정=5579, 객체검사=5027, 렌더객체=37281, fake노드=4897
        [CULL] maxLevel=8, 시간=1160.1us, m_minNodePixels=8.0, 방문노드=7346, 절두체판정=5579, 객체검사=5027, 렌더객체=37232, fake노드=4893
        [CULL] maxLevel=8, 시간=1140.6us, m_minNodePixels=8.0, 방문노드=7329, 절두체판정=5579, 객체검사=5027, 렌더객체=37200, fake노드=4880
        [CULL] maxLevel=8, 시간=1072.1us, m_minNodePixels=8.0, 방문노드=7303, 절두체판정=5579, 객체검사=5027, 렌더객체=37145, fake노드=4872
        [CULL] maxLevel=8, 시간=1335.9us, m_minNodePixels=8.0, 방문노드=7183, 절두체판정=5641, 객체검사=5096, 렌더객체=37140, fake노드=4829
        [CULL] maxLevel=8, 시간=1106.7us, m_minNodePixels=8.0, 방문노드=7188, 절두체판정=5641, 객체검사=5096, 렌더객체=37073, fake노드=4832
        [CULL] maxLevel=8, 시간=1167.4us, m_minNodePixels=8.0, 방문노드=7164, 절두체판정=5641, 객체검사=5096, 렌더객체=36989, fake노드=4816
        [CULL] maxLevel=8, 시간=1169.0us, m_minNodePixels=8.0, 방문노드=7160, 절두체판정=5641, 객체검사=5096, 렌더객체=36981, fake노드=4815
        [CULL] maxLevel=8, 시간=1176.1us, m_minNodePixels=8.0, 방문노드=7163, 절두체판정=5641, 객체검사=5096, 렌더객체=36944, fake노드=4817
        [CULL] maxLevel=8, 시간=1191.6us, m_minNodePixels=8.0, 방문노드=7191, 절두체판정=5519, 객체검사=4985, 렌더객체=36931, fake노드=4824
        [CULL] maxLevel=8, 시간=1101.8us, m_minNodePixels=8.0, 방문노드=7185, 절두체판정=5519, 객체검사=4985, 렌더객체=36929, fake노드=4820
        [CULL] maxLevel=8, 시간=1148.1us, m_minNodePixels=8.0, 방문노드=7180, 절두체판정=5519, 객체검사=4985, 렌더객체=36856, fake노드=4778
        [CULL] maxLevel=8, 시간=1110.0us, m_minNodePixels=8.0, 방문노드=7178, 절두체판정=5519, 객체검사=4985, 렌더객체=36820, fake노드=4776
        [CULL] maxLevel=8, 시간=1261.3us, m_minNodePixels=8.0, 방문노드=7168, 절두체판정=5519, 객체검사=4985, 렌더객체=36798, fake노드=4770
        [CULL] maxLevel=8, 시간=1075.7us, m_minNodePixels=8.0, 방문노드=7171, 절두체판정=5519, 객체검사=4985, 렌더객체=36834, fake노드=4774
        [CULL] maxLevel=8, 시간=1096.2us, m_minNodePixels=8.0, 방문노드=7169, 절두체판정=5519, 객체검사=4985, 렌더객체=36808, fake노드=4772
        [CULL] maxLevel=8, 시간=1082.0us, m_minNodePixels=8.0, 방문노드=7165, 절두체판정=5519, 객체검사=4985, 렌더객체=36870, fake노드=4784
        [CULL] maxLevel=8, 시간=1113.1us, m_minNodePixels=8.0, 방문노드=7165, 절두체판정=5519, 객체검사=4985, 렌더객체=36843, fake노드=4785
        [CULL] maxLevel=8, 시간=1056.4us, m_minNodePixels=8.0, 방문노드=7066, 절두체판정=5542, 객체검사=5020, 렌더객체=36731, fake노드=4745
        [CULL] maxLevel=8, 시간=1085.2us, m_minNodePixels=8.0, 방문노드=7069, 절두체판정=5542, 객체검사=5020, 렌더객체=36723, fake노드=4747
        [CULL] maxLevel=8, 시간=1095.5us, m_minNodePixels=8.0, 방문노드=7063, 절두체판정=5542, 객체검사=5020, 렌더객체=36637, fake노드=4743
        [CULL] maxLevel=8, 시간=1221.5us, m_minNodePixels=8.0, 방문노드=7063, 절두체판정=5542, 객체검사=5020, 렌더객체=36630, fake노드=4743
        [CULL] maxLevel=8, 시간=1081.5us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36642, fake노드=4745
        [CULL] maxLevel=8, 시간=1060.4us, m_minNodePixels=8.0, 방문노드=7071, 절두체판정=5542, 객체검사=5020, 렌더객체=36644, fake노드=4749
        [CULL] maxLevel=8, 시간=1078.0us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36615, fake노드=4745
        [CULL] maxLevel=8, 시간=1193.6us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36616, fake노드=4745
        [CULL] maxLevel=8, 시간=1085.3us, m_minNodePixels=8.0, 방문노드=7084, 절두체판정=5538, 객체검사=5023, 렌더객체=36644, fake노드=4751
        [CULL] maxLevel=8, 시간=1078.2us, m_minNodePixels=8.0, 방문노드=7089, 절두체판정=5538, 객체검사=5023, 렌더객체=36642, fake노드=4754
        [CULL] maxLevel=8, 시간=1191.2us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36628, fake노드=4751
        [CULL] maxLevel=8, 시간=1068.3us, m_minNodePixels=8.0, 방문노드=7087, 절두체판정=5538, 객체검사=5023, 렌더객체=36628, fake노드=4754
        [CULL] maxLevel=8, 시간=1094.4us, m_minNodePixels=8.0, 방문노드=7079, 절두체판정=5538, 객체검사=5023, 렌더객체=36575, fake노드=4748
        [CULL] maxLevel=8, 시간=1075.4us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36498, fake노드=4716
        [CULL] maxLevel=8, 시간=1198.6us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36480, fake노드=4716
        [CULL] maxLevel=8, 시간=1118.5us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36482, fake노드=4716
        [CULL] maxLevel=8, 시간=1124.3us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36480, fake노드=4716
        [CULL] maxLevel=8, 시간=1096.1us, m_minNodePixels=8.0, 방문노드=7086, 절두체판정=5538, 객체검사=5023, 렌더객체=36481, fake노드=4718
