[줌인/줌아웃 비교]
- 레벨 5
    
    [CULL] maxLevel=5, 시간=1245.0us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=404473, fake노드=197
    [CULL] maxLevel=5, 시간=1146.1us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=404473, fake노드=197
    [CULL] maxLevel=5, 시간=1681.7us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=464512, fake노드=28
    [CULL] maxLevel=5, 시간=2130.1us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1592.0us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=2388.0us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1589.2us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=2415.7us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1644.4us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1674.3us, m_minNodePixels=8.0, 방문노드=651, 절두체판정=1617, 객체검사=1555, 렌더객체=471204, fake노드=0
    [CULL] maxLevel=5, 시간=2557.2us, m_minNodePixels=8.0, 방문노드=642, 절두체판정=2207, 객체검사=2134, 렌더객체=468268, fake노드=0
    [CULL] maxLevel=5, 시간=2863.1us, m_minNodePixels=8.0, 방문노드=623, 절두체판정=5339, 객체검사=5223, 렌더객체=465151, fake노드=0
    [CULL] maxLevel=5, 시간=2098.9us, m_minNodePixels=8.0, 방문노드=603, 절두체판정=9106, 객체검사=8990, 렌더객체=457640, fake노드=0
    [CULL] maxLevel=5, 시간=3487.8us, m_minNodePixels=8.0, 방문노드=569, 절두체판정=14155, 객체검사=14004, 렌더객체=444471, fake노드=0
    [CULL] maxLevel=5, 시간=3608.6us, m_minNodePixels=8.0, 방문노드=528, 절두체판정=28869, 객체검사=28703, 렌더객체=424282, fake노드=0
    [CULL] maxLevel=5, 시간=5868.6us, m_minNodePixels=8.0, 방문노드=469, 절두체판정=50667, 객체검사=50492, 렌더객체=388602, fake노드=0
    [CULL] maxLevel=5, 시간=5495.8us, m_minNodePixels=8.0, 방문노드=417, 절두체판정=43876, 객체검사=43698, 렌더객체=349080, fake노드=0
    [CULL] maxLevel=5, 시간=4966.0us, m_minNodePixels=8.0, 방문노드=400, 절두체판정=47354, 객체검사=47176, 렌더객체=314551, fake노드=0
    [CULL] maxLevel=5, 시간=3635.0us, m_minNodePixels=8.0, 방문노드=308, 절두체판정=40494, 객체검사=40344, 렌더객체=288420, fake노드=0
    [CULL] maxLevel=5, 시간=4302.4us, m_minNodePixels=8.0, 방문노드=292, 절두체판정=39629, 객체검사=39479, 렌더객체=259980, fake노드=0
    [CULL] maxLevel=5, 시간=3143.1us, m_minNodePixels=8.0, 방문노드=271, 절두체판정=42520, 객체검사=42370, 렌더객체=240570, fake노드=0
    [CULL] maxLevel=5, 시간=4133.5us, m_minNodePixels=8.0, 방문노드=242, 절두체판정=51997, 객체검사=51852, 렌더객체=213594, fake노드=0
    [CULL] maxLevel=5, 시간=6778.6us, m_minNodePixels=8.0, 방문노드=182, 절두체판정=67137, 객체검사=67010, 렌더객체=184601, fake노드=0
    [CULL] maxLevel=5, 시간=5422.0us, m_minNodePixels=8.0, 방문노드=182, 절두체판정=67137, 객체검사=67010, 렌더객체=158178, fake노드=0
    [CULL] maxLevel=5, 시간=5270.2us, m_minNodePixels=8.0, 방문노드=123, 절두체판정=75637, 객체검사=75541, 렌더객체=130971, fake노드=0
